word,total,astronomical,biological,cosmological,herbal,text only,unknown
chockhy,23,3,0,0,7,1,12
cheeky,23,1,10,0,5,2,5
ytar,23,0,1,2,4,9,7
okaly,23,0,4,0,4,5,10
olky,23,0,13,1,4,3,2
qotchdy,23,0,1,3,5,3,11
tchey,22,0,2,2,10,2,6
chety,22,1,4,1,12,1,3
tchor,22,0,0,1,18,0,3
ykchy,22,1,0,1,18,1,1
qoaiin,22,0,0,0,8,3,11
kchey,22,1,3,0,13,0,5
tor,22,0,4,0,12,2,4
dary,22,3,3,1,8,2,5
ykedy,22,0,7,2,9,1,3
kchedy,22,0,2,0,5,2,13
qokair,22,0,2,0,1,6,13
olshedy,22,0,15,1,0,2,4
daiiin,21,1,2,0,12,1,5
keol,21,2,1,0,10,0,8
qot,21,0,1,0,16,1,3
ckhol,21,0,0,0,15,1,5
dl,21,0,5,4,5,2,5
teey,21,0,5,0,4,0,12
keody,21,0,0,2,9,4,6
okeo,21,5,0,4,2,0,10
lo,21,0,7,0,3,2,9
qokeor,21,0,3,0,3,3,12
okeeo,21,0,0,2,3,0,16
ched,21,0,5,2,4,1,9
otaly,21,1,4,0,1,3,12
olkar,21,0,6,5,1,6,3
rain,21,0,4,1,0,1,15
ols,20,2,4,1,4,2,7
shaiin,20,0,0,0,13,1,6
do,20,1,0,1,17,0,1
pol,20,0,8,1,2,1,8
kchor,20,0,0,0,18,0,2
kchdy,20,0,3,1,14,1,1
daldy,20,1,6,1,4,3,5
qor,20,0,7,0,6,1,6
shecthy,20,0,11,0,2,3,4
ly,20,0,8,1,5,0,6
okair,20,0,2,2,6,2,8
aral,20,1,1,1,3,4,10
opchdy,20,0,0,4,3,4,9
shed,20,0,3,2,2,3,10
cheeo,20,0,0,0,0,1,19
dan,19,0,0,1,15,1,2
oteo,19,3,0,1,2,1,12
chocthy,19,0,0,1,13,2,3
n,19,1,1,2,6,3,6
ycheey,19,0,1,0,6,1,11
odal,19,1,1,4,7,0,6
chain,19,0,1,0,11,0,7
ty,19,0,3,0,16,0,0
rol,19,0,10,0,2,1,6
chdal,19,0,1,1,6,4,7
lky,19,0,4,0,1,0,14
chedain,19,0,1,0,2,1,15
i,19,1,2,4,6,2,4
qoeedy,19,0,6,1,0,1,11
soiin,18,0,4,0,5,1,8
ydaiin,18,2,0,0,10,1,5
qotchey,18,0,2,1,9,0,6
tchol,18,0,0,1,13,1,3
chkaiin,18,0,1,0,9,1,7
hy,18,2,0,1,8,4,3
olol,18,1,9,0,5,1,2
okeor,18,0,0,0,5,3,10
sheal,18,1,3,1,1,1,11
qockhy,18,1,1,0,6,2,8
okees,18,1,0,7,2,3,5
lchdy,18,0,5,0,2,1,10
qockhey,18,0,3,0,4,1,10
qokeeo,18,0,0,0,0,1,17
cth,17,0,0,0,13,1,3
yky,17,1,0,3,11,0,2
odain,17,1,0,1,6,0,9
cham,17,0,2,2,9,2,2
chky,17,2,1,0,10,1,3
key,17,1,2,2,7,1,4
okody,17,0,0,8,2,0,7
dchey,17,1,2,1,10,0,3
ychey,17,0,2,3,6,1,5
qody,17,0,3,1,6,1,6
choly,17,0,0,2,9,2,4
okchor,17,1,0,2,12,0,2
chs,17,0,2,0,6,0,9
shee,17,0,1,2,7,1,6
rar,17,0,4,0,1,0,12
chdaiin,17,0,0,1,6,0,10
qokaly,17,0,6,0,1,7,3
lshey,17,0,6,0,0,1,10
qokeed,17,0,7,0,1,1,8
chokaiin,16,0,0,0,7,1,8
otchor,16,0,0,0,14,0,2
ytchy,16,1,0,0,11,2,2
cthody,16,1,0,1,12,0,2
ykeody,16,3,0,2,4,0,7
okeeol,16,1,1,0,2,0,12
cheeor,16,0,1,1,5,0,9
yk,16,0,0,2,9,0,5
ory,16,0,8,0,2,1,5
shal,16,0,5,1,1,1,8
orain,16,0,4,0,4,0,8
olar,16,2,1,3,2,3,5
qopchdy,16,0,1,0,3,0,12
teol,16,0,5,0,4,0,7
qokeeody,16,1,0,0,3,2,10
okeeody,16,3,0,1,2,0,10
opaiin,16,0,0,6,0,2,8
qoeey,16,0,0,2,0,1,13
ral,16,0,7,1,0,0,8
cthar,15,0,0,0,10,4,1
eey,15,0,3,3,2,1,6
ychor,15,0,0,0,11,1,3
tey,15,0,0,2,4,3,6
chokchy,15,1,0,0,12,0,2
qokchol,15,0,0,0,13,0,2
ytal,15,0,1,1,5,7,1
ctheey,15,0,0,1,7,0,7
ir,15,0,2,0,3,3,7
aldy,15,3,1,2,5,1,3
keeol,15,0,1,0,3,0,11
laiin,15,0,2,1,4,1,7
teedy,15,0,3,1,3,0,8
ykeol,15,0,0,2,4,2,7
sheeky,15,0,7,0,1,1,6
ror,15,1,5,0,1,0,8
lkchedy,15,0,2,0,0,2,11
ykol,14,0,1,0,10,1,2
yteody,14,3,0,2,3,3,3
ytor,14,1,0,0,10,3,0
iir,14,1,0,2,6,1,4
okchol,14,1,0,2,7,0,4
opchy,14,0,0,0,7,0,7
shes,14,5,2,2,1,1,3
tchdy,14,0,3,3,3,0,5
shedaiin,14,0,4,6,2,1,1
oiiin,14,0,4,0,1,0,9
oteeos,14,3,0,2,0,1,8
ytain,13,0,1,2,1,4,5
chodar,13,1,0,0,7,0,5
chty,13,0,2,0,7,1,3
chom,13,0,0,0,11,0,2
okeeor,13,0,1,1,3,0,8
qotchol,13,0,0,0,13,0,0
oar,13,0,0,3,3,3,4
cheodaiin,13,1,0,0,5,0,7
qokechy,13,0,0,1,2,1,9
qopchy,13,1,0,1,5,3,3
chkeey,13,0,1,0,8,0,4
